query_id,query_text
287,"my order hasn't arrived yet, what should i do"
288,Are there any discounts for first-time customers?
289,Can I purchase a gift card?
290,how do i redeem a promo code
291,can i cancel my order after it's been shipped
292,Are there any discounts for first-time customers?
293,What is the estimated delivery time for orders?
294,"I received a damaged product, how can I get a replacement?"
295,what is the estimated delivery time for orders
296,How can I contact customer support?
297,how do i redeem a promo code
298,Do you offer gift wrapping services?
299,can i purchase a gift card
300,how do i track my order
301,what are the terms and conditions for returns
302,"my order hasn't arrived yet, what should i do"
303,Do you offer international shipping?
304,Are my payment details secure?
305,How do I track my order?
306,What payment methods do you accept?
307,How can I contact customer support?
308,can i change my shipping address after placing an order
309,can i purchase a gift card
310,What payment methods do you accept?
311,How can I contact customer support?
312,What is the estimated delivery time for orders?
313,Can I change my email address in my account settings?
314,can i purchase a gift card
315,Do you offer gift wrapping services?
316,Are there any discounts for first-time customers?
317,what payment methods do you accept
318,Can I change my email address in my account settings?
319,What is your refund policy?
320,How do I redeem a promo code?
321,how do i track my order
322,do you offer international shipping
323,Do you offer international shipping?
324,What is your refund policy?
325,"My order hasn't arrived yet, what should I do?"
326,Can I change my shipping address after placing an order?
327,"I received a damaged product, how can I get a replacement?"
328,How can I contact customer support?
329,what is the estimated delivery time for orders
330,are there any discounts for first-time customers
331,How do I reset my password?
332,Can I cancel my order after it's been shipped?
333,How do I reset my password?
334,What is your refund policy?
335,Can I change my email address in my account settings?
336,How do I reset my password?
337,What payment methods do you accept?
338,"I received a damaged product, how can I get a replacement?"
339,how do i redeem a promo code
340,Do you offer gift wrapping services?
341,how do i redeem a promo code
342,How do I redeem a promo code?
343,how do i redeem a promo code
344,"my order hasn't arrived yet, what should i do"
345,How do I redeem a promo code?
346,What is your refund policy?
347,Are there any discounts for first-time customers?
348,How do I track my order?
349,How do I reset my password?
350,What are the terms and conditions for returns?
351,What is the estimated delivery time for orders?
352,What payment methods do you accept?
353,"I received a damaged product, how can I get a replacement?"
354,What is the estimated delivery time for orders?
355,can i change my email address in my account settings
356,Can I purchase a gift card?
357,What are the terms and conditions for returns?
358,can i change my email address in my account settings
359,what payment methods do you accept
360,what should i do if my payment fails
361,What is the estimated delivery time for orders?
362,How do I track my order?
363,what should i do if my payment fails
364,What should I do if my payment fails?
365,What payment methods do you accept?
366,Do you offer international shipping?
367,"I received a damaged product, how can I get a replacement?"
368,Do you offer gift wrapping services?
369,what is your refund policy
370,how do i reset my password
371,Can I purchase a gift card?
372,Can I change my email address in my account settings?
373,do you offer gift wrapping services
374,Can I cancel my order after it's been shipped?
375,what is the estimated delivery time for orders
376,Can I change my email address in my account settings?
377,How can I contact customer support?
378,are my payment details secure
379,Do you offer gift wrapping services?
380,are there any discounts for first-time customers
381,what should i do if my payment fails
382,Can I cancel my order after it's been shipped?
383,How do I reset my password?
384,what should i do if my payment fails
385,What payment methods do you accept?
386,how can i contact customer support
387,can i purchase a gift card
388,How can I contact customer support?
389,Do you offer international shipping?
390,how can i contact customer support
391,How can I contact customer support?
392,Are my payment details secure?
393,can i purchase a gift card
394,How can I contact customer support?
395,What should I do if my payment fails?
396,can i change my shipping address after placing an order
397,how do i redeem a promo code
398,how can i update my account details
399,Are my payment details secure?
400,what payment methods do you accept
401,Are my payment details secure?
402,are there any discounts for first-time customers
403,Can I change my shipping address after placing an order?
404,How do I reset my password?
405,how do i redeem a promo code
406,What is your refund policy?
407,How do I track my order?
408,are there any discounts for first-time customers
409,How do I redeem a promo code?
410,What should I do if my payment fails?
411,What is your refund policy?
412,Can I cancel my order after it's been shipped?
413,How do I track my order?
414,are my payment details secure
415,how do i reset my password
416,How do I redeem a promo code?
417,"my order hasn't arrived yet, what should i do"
418,what should i do if my payment fails
419,What is your refund policy?
420,Can I change my shipping address after placing an order?
421,What are the terms and conditions for returns?
422,Do you offer gift wrapping services?
423,do you offer gift wrapping services
424,Can I purchase a gift card?
425,How can I update my account details?
426,What are the terms and conditions for returns?
427,what should i do if my payment fails
428,Do you offer gift wrapping services?
429,How do I redeem a promo code?
430,Can I cancel my order after it's been shipped?
431,Do you offer gift wrapping services?
432,Can I cancel my order after it's been shipped?
433,What payment methods do you accept?
434,Can I change my shipping address after placing an order?
435,Can I purchase a gift card?
436,What is your refund policy?
437,Do you offer gift wrapping services?
438,How can I contact customer support?
439,Are there any discounts for first-time customers?
440,what are the terms and conditions for returns
441,are there any discounts for first-time customers
442,can i cancel my order after it's been shipped
443,"I received a damaged product, how can I get a replacement?"
444,How can I update my account details?
445,"My order hasn't arrived yet, what should I do?"
446,can i change my email address in my account settings
447,How do I reset my password?
448,do you offer gift wrapping services
449,are there any discounts for first-time customers
450,Can I change my shipping address after placing an order?
451,what are the terms and conditions for returns
452,How do I redeem a promo code?
453,Do you offer gift wrapping services?
454,How can I update my account details?
455,How can I update my account details?
456,Can I change my shipping address after placing an order?
457,what is the estimated delivery time for orders
458,Can I change my email address in my account settings?
459,Do you offer international shipping?
460,What are the terms and conditions for returns?
461,what payment methods do you accept
462,can i change my email address in my account settings
463,What payment methods do you accept?
464,Can I purchase a gift card?
465,What is the estimated delivery time for orders?
466,can i cancel my order after it's been shipped
467,how do i redeem a promo code
468,what is your refund policy
469,do you offer gift wrapping services
470,Can I cancel my order after it's been shipped?
471,how can i contact customer support
472,do you offer gift wrapping services
473,what payment methods do you accept
474,Can I change my shipping address after placing an order?
475,Can I purchase a gift card?
476,What is the estimated delivery time for orders?
477,Can I purchase a gift card?
478,What are the terms and conditions for returns?
479,What should I do if my payment fails?
480,How do I track my order?
481,"my order hasn't arrived yet, what should i do"
482,Do you offer gift wrapping services?
483,are there any discounts for first-time customers
484,Can I purchase a gift card?
485,Can I purchase a gift card?
486,do you offer gift wrapping services
487,how can i contact customer support
488,how do i redeem a promo code
489,Do you offer gift wrapping services?
490,"I received a damaged product, how can I get a replacement?"
491,How do I track my order?
492,How do I track my order?
493,do you offer international shipping
494,What payment methods do you accept?
495,can i change my email address in my account settings
496,Can I purchase a gift card?
497,Can I cancel my order after it's been shipped?
498,How do I reset my password?
499,Do you offer international shipping?
500,can i change my email address in my account settings
999,"I forgot how to log into my account, is there a way to regain access?"
